source_token,relation,target_token,source_uri,source_version,reviewed_by,evidence
lab:50912,assesses,knowledge:physiology:kidney_function,https://medlineplus.gov/lab-tests/creatinine-test/,retrieved-2026-09-19T13:45:16Z,hermes-source-check-not-clinical-review,Check the health of your kidneys
lab:51006,assesses,knowledge:physiology:kidney_function,https://medlineplus.gov/lab-tests/bun-blood-urea-nitrogen/,retrieved-2026-09-19,hermes-source-check-not-clinical-review,It can help diagnose or monitor kidney diseases.
lab:50983,member_of,knowledge:panel:electrolytes,https://medlineplus.gov/lab-tests/electrolyte-panel/,retrieved-2026-09-19T13:45:16Z,hermes-source-check-not-clinical-review,"Sodium, which helps control the amount of fluid in your body."
lab:50902,member_of,knowledge:panel:electrolytes,https://medlineplus.gov/lab-tests/electrolyte-panel/,retrieved-2026-09-19T13:45:16Z,hermes-source-check-not-clinical-review,"Chloride, which also helps control the amount of fluid in your body."
lab:50971,member_of,knowledge:panel:electrolytes,https://medlineplus.gov/lab-tests/electrolyte-panel/,retrieved-2026-09-19T13:45:16Z,hermes-source-check-not-clinical-review,"Potassium, which helps your cells, heart, and muscles work properly."
lab:50882,member_of,knowledge:panel:electrolytes,https://medlineplus.gov/lab-tests/electrolyte-panel/,retrieved-2026-09-19T13:45:16Z,hermes-source-check-not-clinical-review,"Bicarbonate, which helps maintain your body's acid- base balance (pH)."
lab:50893,member_of,knowledge:panel:electrolytes,https://medlineplus.gov/lab-tests/electrolyte-panel/,retrieved-2026-09-19T13:45:16Z,hermes-source-check-not-clinical-review,"Calcium, which helps make and keep your bones and teeth strong."
lab:50960,member_of,knowledge:panel:electrolytes,https://medlineplus.gov/lab-tests/electrolyte-panel/,retrieved-2026-09-19T13:45:16Z,hermes-source-check-not-clinical-review,"Magnesium, which helps your muscles, nerves, and heart work properly."
lab:50970,member_of,knowledge:panel:electrolytes,https://medlineplus.gov/lab-tests/electrolyte-panel/,retrieved-2026-09-19T13:45:16Z,hermes-source-check-not-clinical-review,"Phosphate, which works together with the mineral calcium to build strong bones and teeth."
lab:50931,measures,knowledge:physiology:blood_glucose,https://medlineplus.gov/lab-tests/blood-glucose-test/,retrieved-2026-09-19T13:45:16Z,hermes-source-check-not-clinical-review,A blood glucose test measures the glucose levels in your blood.
